tag with attr="type"	frequency
<paragraph type="mainText">	14956
<paragraph type="table">	111
<part type="fascicle">	43
<part type="issue">	489
<part type="series">	8
<part type="volume">	2526
<quantity type="bodyLength">	1
<quantity type="bodyWidth">	1
<region type="mainText">	2
<specimenCode type="Herbarium">	145
<specimenCode type="Museum">	2239
<specimenCode type="Other institutional type">	86
<specimenCode type="Other type of research institution/biorepository">	27
<specimenCode type="University or college">	100
<specimenCount type="adult">	3485
<specimenCount type="egg">	968
<specimenCount type="exuvia">	63
<specimenCount type="female">	119744
<specimenCount type="generic">	78122
<specimenCount type="intercalary">	18
<specimenCount type="juvenile">	2898
<specimenCount type="larva">	2133
<specimenCount type="male">	123859
<specimenCount type="nymphe">	2
<specimenCount type="pupa">	962
<specimenCount type="queen">	192
<specimenCount type="queens">	26
<specimenCount type="soldier">	331
<specimenCount type="subadult">	488
<specimenCount type="worker">	2910
<subSection type="(fig. 2)">	1
<subSection type="a key to genera of opisotretidae, based mainly on male characters">	1
<subSection type="a key to species of martensodesmus">	1
<subSection type="a key to species of opisotretus">	1
<subSection type="a key to the species of garcinia sect. hebradendron in indochina">	1
<subSection type="a note on idotea angustata lucas, 1849">	1
<subSection type="abdomen">	1
<subSection type="abstract">	2
<subSection type="acknowledgment">	1
<subSection type="acknowledgments">	3
<subSection type="additional records">	1
<subSection type="additional sampling records of micropterigids in the northeastern japan">	1
<subSection type="additional vietnamese species">	1
<subSection type="adult female">	2
<subSection type="adult male">	2
<subSection type="adult">	2
<subSection type="adults">	1
<subSection type="alate viviparous females">	1
<subSection type="amazonica species group">	1
<subSection type="annulation">	2
<subSection type="antennae">	2
<subSection type="apterous viviparous female">	1
<subSection type="associated fauna">	1
<subSection type="auditory apparatus">	1
<subSection type="baconia incertae sedis">	1
<subSection type="beckeri species-group">	1
<subSection type="below we provide a key to all four ampelocissus species in new guinea">	1
<subSection type="besucheti species-group">	2
<subSection type="biogeographic considerations">	1
<subSection type="biogeographical affinities">	1
<subSection type="biogeography">	1
<subSection type="biological notes on colobopsis explodens sp. n">	1
<subSection type="biological notes">	1
<subSection type="biology and distribution">	1
<subSection type="biology and ecology">	1
<subSection type="biology of cycreon">	1
<subSection type="biology">	1
<subSection type="biometry">	1
<subSection type="body size limits in arthropods">	1
<subSection type="braunsia. key to thai species of braunsia">	1
<subSection type="brood pouch content">	1
<subSection type="chave para identificação de machos de dinoponera">	1
<subSection type="chave para identificação de operários de dinoponera">	1
<subSection type="check list of species of tambinia stål">	1
<subSection type="checklist and distribution">	1
<subSection type="checklist of allacta species from china">	1
<subSection type="checklist of pectinivalvinae">	1
<subSection type="checklist of schrankia">	1
<subSection type="checklist of species in bidessodes">	1
<subSection type="checklist of species of g. (syngalepsus) (fig. 8)">	1
<subSection type="checklist of the genus patoptoformis">	1
<subSection type="checklist of the genus phragmataecia">	1
<subSection type="checklist of the genus thisizima walker, 1864">	1
<subSection type="chelicera">	2
<subSection type="clave para la identificación de las obreras de dinoponera">	1
<subSection type="clave para la identificación de los machos conocidos de dinoponera">	1
<subSection type="clave para las especies de mesomerodon">	1
<subSection type="clé d’identification des espèces de galepsus (syngalepsus) d’après les mâles">	1
<subSection type="coccygidium. key to thai species of coccygidium">	1
<subSection type="colobicoides species-group">	1
<subSection type="color">	1
<subSection type="coloration">	3
<subSection type="colour">	3
<subSection type="comments on character variation">	16
<subSection type="comments on species-groups and species-complexes characters">	2
<subSection type="comments on the distribution and conservation of t. dabar, t. miloradi and t. metohiensis">	1
<subSection type="comments on the species of colocania gen. n">	1
<subSection type="comments on worker characters">	2
<subSection type="comments">	4
<subSection type="common names">	18
<subSection type="comparative material">	1
<subSection type="comparative remarks">	1
<subSection type="comparison of selected characters of dryopolystichum">	1
<subSection type="comparisons with other genera of syntermitinae">	1
<subSection type="comparisons">	1
<subSection type="conservation status">	537
<subSection type="cranial characters (fig. 3)">	2
<subSection type="crocidura attenuata and c. tanakae">	1
<subSection type="cytogenetics and reproductive biology">	2
<subSection type="dentition (fig. 3)">	2
<subSection type="dermal investing bones">	1
<subSection type="description and comparison of the calling songs of t. neomexicensis andt. chiricahua">	1
<subSection type="description of adult female paratype">	2
<subSection type="description of female">	2
<subSection type="description of holotype">	2
<subSection type="description of male paratypes">	2
<subSection type="description of male">	2
<subSection type="description of new taxa">	1
<subSection type="description of other female paratypes">	2
<subSection type="description of the new species">	1
<subSection type="description">	6
<subSection type="descriptions of the species">	1
<subSection type="descriptions">	1
<subSection type="diagnosis">	2
<subSection type="diagnostic key to the annual dianthus species with verrucose calyx in turkey">	1
<subSection type="differences between togepsylla and syncoptozus">	1
<subSection type="differentiation of described species">	1
<subSection type="digestive tract">	2
<subSection type="discussion">	7
<subSection type="distribution in india">	50
<subSection type="distribution in india:">	2
<subSection type="distribution of macrocheilus in the oriental region">	1
<subSection type="distribution">	1
<subSection type="dna barcoding result">	2
<subSection type="dna sequences">	4
<subSection type="document_head">	3
<subSection type="dorsum">	2
<subSection type="doubtful names">	1
<subSection type="dubious species">	1
<subSection type="ecology">	1
<subSection type="economic use">	2
<subSection type="economic uses">	2
<subSection type="elytra">	1
<subSection type="endroedyi species-group">	1
<subSection type="etymology">	1
<subSection type="examined material of pericalus (s. str.) species not recorded from china">	1
<subSection type="excluded names based on types from continental africa and published in coelocline, habzelia, unona, xylopia, and xylopiastrum">	1
<subSection type="excluded names">	2
<subSection type="excluded species">	2
<subSection type="external characters (fig. 1, table 1)">	2
<subSection type="faunistic records">	1
<subSection type="feeds on">	308
<subSection type="female (paratype)">	1
<subSection type="female genital organ">	2
<subSection type="female genitalia">	1
<subSection type="female holotype (fig. 1-8)">	2
<subSection type="female paratype">	1
<subSection type="female">	17
<subSection type="females">	1
<subSection type="flight behavior">	2
<subSection type="flowering and fruiting">	4
<subSection type="fossil species">	1
<subSection type="freyi species group">	1
<subSection type="fundatrix">	1
<subSection type="gabonica species-group">	1
<subSection type="general features">	6
<subSection type="genetic comparisons">	1
<subSection type="genetic variation">	2
<subSection type="genus oedothorax bertkau, 1883">	1
<subSection type="genus oilinyphia ono & saito, 1989">	1
<subSection type="genus paikiniana eskov, 1992">	1
<subSection type="genus parameioneta locket, 1982">	1
<subSection type="genus prosoponoides millidge & russell-smith, 1992">	1
<subSection type="genus saitonia eskov, 1992">	1
<subSection type="genus tapinopa westring, 1851">	1
<subSection type="genus theoa saaristo, 1995">	1
<subSection type="geographic distribution">	1
<subSection type="geographical variation in c. attenuata">	1
<subSection type="geographical variation in c. tanakae">	1
<subSection type="geometric morphometrics">	2
<subSection type="gonopores">	2
<subSection type="habitat distribution and phenology">	1
<subSection type="habitat in vietnam">	2
<subSection type="habitat">	19
<subSection type="habitats and faunistics">	1
<subSection type="haplotype network and genetic diversity">	1
<subSection type="haplotype networks, molecular species delimitation and dating">	1
<subSection type="head">	5
<subSection type="holotype">	1
<subSection type="host of">	138
<subSection type="host specificity">	1
<subSection type="host">	8
<subSection type="hosts">	28
<subSection type="hyoid">	1
<subSection type="identification key to species belonging to e. macrodorus group">	1
<subSection type="identification key to species of galepsus (syngalepsus) using males">	1
<subSection type="identification key to the neotropical cleptoparasitic genera of anthidiini">	1
<subSection type="identification key">	1
<subSection type="identification of the new species">	1
<subSection type="illustrated key to australian shield-backed trapdoor spiders of the idiosoma nigrum-group">	1
<subSection type="illustrated key to males">	1
<subSection type="imago description">	1
<subSection type="immatures description">	1
<subSection type="in gauld’s key to genera and subgenera (1976), the new genus can be inserted as follows">	1
<subSection type="in situ observations">	1
<subSection type="in townes’ (1971) key to genera, the new genus can be inserted as follows">	1
<subSection type="included species and examined specimens">	1
<subSection type="insert for existing keys to hawaiian rutaceae and melicope">	1
<subSection type="introduction">	5
<subSection type="invalid names, not vouchered">	1
<subSection type="japonica species-group">	1
<subSection type="key for determination of the species and subspecies of the genus euxinella">	1
<subSection type="key for differentiating the species of rhytidognathus">	1
<subSection type="key for identification of these four related species in yunnan and tibet, china">	1
<subSection type="key for northeast atlantic/mediterranean macarorchestia and neotenorchestia gen. n">	2
<subSection type="key for the immatures of galeritini with known pupa">	1
<subSection type="key to 5 species of dichostereum in china">	1
<subSection type="key to adult females of saissetia occurring in china">	1
<subSection type="key to adult males of caledonotrichia">	1
<subSection type="key to adults, based on external characters and wing venation">	1
<subSection type="key to adults, based on female genitalia">	1
<subSection type="key to adults, based on male genitalia">	1
<subSection type="key to african melastomateae genera">	1
<subSection type="key to african species of oxyscelio">	1
<subSection type="key to andersonoplatus species">	1
<subSection type="key to asian species of trogloneta simon, 1922">	1
<subSection type="key to baltic amber genera of entiminae with free claws">	1
<subSection type="key to batrochomatus">	1
<subSection type="key to chinese biston">	1
<subSection type="key to chinese species of anaphothrips">	1
<subSection type="key to chinese species of the genus intestinarius kurbatov">	1
<subSection type="key to coelogyne sect. proliferae">	1
<subSection type="key to cretan lasius species (based on the worker caste)">	1
<subSection type="key to d. naungmungense, d. vexabile and d. ciliatilabellum">	1
<subSection type="key to described species of doryctopambolus">	1
<subSection type="key to females of poropoea species lacking of the rs1 track in the fore wing">	1
<subSection type="key to females of the chinese species of anagrus">	1
<subSection type="key to females">	1
<subSection type="key to genera of cryptopygus complex with sensilla in posterior position on body tergites">	1
<subSection type="key to genera of hea clade">	1
<subSection type="key to hemiboea suiyangensis and its alliance">	1
<subSection type="key to identification of afrotropical genera of saprininae">	1
<subSection type="key to identification of fifth instars of chinavia in rio grande do sul">	1
<subSection type="key to identification of first instars of chinavia in rio grande do sul">	1
<subSection type="key to identification of fourth instars of chinavia in rio grande do sul">	1
<subSection type="key to identification of second instars of chinavia in rio grande do sul">	1
<subSection type="key to identification of third instars of chinavia in rio grande do sul">	1
<subSection type="key to indo-malayan and eastern palearctic species of oxyscelio">	1
<subSection type="key to indochinese species of tetraserica ahrens, 2004 (based on males)">	1
<subSection type="key to issikiomartyria species based on female genitalia (female unknown in distincta)">	1
<subSection type="key to issikiomartyria species based on male genitalia">	1
<subSection type="key to ivondrovia species">	1
<subSection type="key to japanese species – females">	2
<subSection type="key to known species of epactozetidae">	1
<subSection type="key to known species of the genus uloma from zhejiang province of china">	1
<subSection type="key to leptopulvinaria species based on slide-mounted adult females’ morphology">	1
<subSection type="key to males of insular dilar species from east asia">	2
<subSection type="key to males of itauara">	1
<subSection type="key to males of loneura group ii species">	1
<subSection type="key to males of pantopsalis">	1
<subSection type="key to males of the genus dicrotendipes in china">	1
<subSection type="key to males of the species of the genus cephalobyrrhus of japan and taiwan">	1
<subSection type="key to males">	2
<subSection type="key to melophorus species based on workers">	1
<subSection type="key to mesomerodon species">	1
<subSection type="key to michanthidiumspecies">	1
<subSection type="key to mitrephora species in thailand">	1
<subSection type="key to monoplatini genera of the west indies">	1
<subSection type="key to myosotis chaffeyorum, m. mooreana and other white flowered and laxly tufted species of myosotis found in forest areas of new zealand">	1
<subSection type="key to new guinean rhinotermitidae species, based on the soldier caste">	1
<subSection type="key to north american ulmus (linear) leafmines">	1
<subSection type="key to palaearctic and oriental species of himertosoma (♀)">	1
<subSection type="key to poa subgen. pseudopoa taxa and other annual species of poa in the coincident geographic region">	1
<subSection type="key to pterostichine-like harpalinae">	1
<subSection type="key to representatives to all three genera (based on male characters)">	1
<subSection type="key to santocellus species">	1
<subSection type="key to selected species of quedius (modified from smetana 1971a)">	1
<subSection type="key to separate macroteleia, triteleia and habroteleia">	1
<subSection type="key to species (males) of argyra from china">	1
<subSection type="key to species known in oriental region">	1
<subSection type="key to species of acomopterella, imagines only">	1
<subSection type="key to species of allacta from china (males)">	1
<subSection type="key to species of anhoplocampa wei">	1
<subSection type="key to species of astrophytum">	1
<subSection type="key to species of echinocactus">	1
<subSection type="key to species of enterognathus (females only)">	1
<subSection type="key to species of genus aoyuanus (males)">	1
<subSection type="key to species of genus parasogata gen. n. (male)">	1
<subSection type="key to species of genus tambinia">	1
<subSection type="key to species of hesione from japan">	1
<subSection type="key to species of homalocephala">	1
<subSection type="key to species of jacksonia (apterous viviparous females)">	1
<subSection type="key to species of korean microrhagus">	1
<subSection type="key to species of larrissa and larrisson">	1
<subSection type="key to species of nahuatlea">	2
<subSection type="key to species of peucoglyphus (after schillhammer 2011, modified to include p. ken)">	1
<subSection type="key to species of selenops found in the north america, central america and the caribbean, exclusive of cuban endemics">	1
<subSection type="key to species of thai lytopylus">	1
<subSection type="key to species of the coracina group">	1
<subSection type="key to species of the exocelina ekari-group">	1
<subSection type="key to species of the genus abrus (male)">	1
<subSection type="key to species of the genus epeolus in canada and the united states of america">	1
<subSection type="key to species of the genus gasteruption latreille from china">	1
<subSection type="key to species of the genus hartemita cameron">	1
<subSection type="key to species of the genus lema from taiwan (modified after kimoto and takizawa 1997)">	1
<subSection type="key to species of the genus macroteleia from china">	1
<subSection type="key to species of the genus pelionella based on adult female morphology (adopted and partially modified from kaydan 2015)">	1
<subSection type="key to species of the genus stantonia ashmead from vietnam, china, japan, and russia">	1
<subSection type="key to species of the genus takecallis in korea (fig. 6)">	1
<subSection type="key to species of the genus trichodryas lawrence & ślipiński, 2005">	1
<subSection type="key to species of the megalostigma species group">	1
<subSection type="key to species of the p. trisetosus species-group (modified from liu et al. 2007)">	1
<subSection type="key to species of the phanuromyia galeata group">	1
<subSection type="key to species of the stenus cirrus group of guizhou">	1
<subSection type="key to species of ulrica from puerto rico">	1
<subSection type="key to species patoptoformis based on external characters">	1
<subSection type="key to species patoptoformis based on male genitalia">	1
<subSection type="key to species phragmataecia related to ph. monika based on external characters">	1
<subSection type="key to species phragmataecia related to ph. monika based on male genitalia">	1
<subSection type="key to species">	4
<subSection type="key to speciesof kiskeya">	1
<subSection type="key to supraspecific taxa of subgenus pinacodera, and to species of the c. (p.) limbata group, based on characters of adults">	1
<subSection type="key to taiwanese species of genus gallerucida motschulsky">	1
<subSection type="key to taiwanese species of the genus paleosepharia">	1
<subSection type="key to telestes species of isolated karst river systems of the adriatic basin in bosnia and herzegovina and croatia, including krbavsko polje">	1
<subSection type="key to thai species based on major worker">	1
<subSection type="key to thai species based on minor worker">	1
<subSection type="key to thai species of camptothlipsis">	1
<subSection type="key to thai species of cremnops">	1
<subSection type="key to thai species of disophrys">	1
<subSection type="key to the adult females of parlatoria targioni tozzetti from china">	1
<subSection type="key to the adults of the european species of genus cucujus fabricius, 1775">	1
<subSection type="key to the anatolian genera of trechini">	1
<subSection type="key to the arabian species of the genus tapinoma">	1
<subSection type="key to the chinese species of ceratophysella">	1
<subSection type="key to the chinese species of the genus brulleia szépligeti">	1
<subSection type="key to the chinese species of the genus discoelius">	1
<subSection type="key to the chinese species of the macrophya maculitibia group">	1
<subSection type="key to the described corethrellidae of the australopapuan region">	1
<subSection type="key to the desert eschscholzia species">	1
<subSection type="key to the diaphorocera species (modified from turco and bologna 2007)">	1
<subSection type="key to the females of pyrocoelia species of taiwan">	1
<subSection type="key to the females of tipula (yamatotipula) moesta and related species">	1
<subSection type="key to the fijian species of triaenodes, based on characters on male genitalia">	1
<subSection type="key to the genera of ptiloneuridae (males) modified from garcía aldrete (2006), silva-neto and garcía aldrete (2015), and silva neto et al. (2016a)">	1
<subSection type="key to the genus camchaya">	1
<subSection type="key to the indian species of tetramorium based on the worker caste (modified from bolton 1976 and 1977)">	1
<subSection type="key to the indian species oforthaltica">	1
<subSection type="key to the intricatus species group of quedius (raphirus) from yunnan province, china">	1
<subSection type="key to the iranian species of mylabris (mylabris)">	1
<subSection type="key to the japanese genera of micropterigidae (modified from hashimoto 2006)">	1
<subSection type="key to the known chinese species of the genus australobius chamberlin, 1920">	1
<subSection type="key to the known males of dinoponera">	1
<subSection type="key to the known species of sensillonychiurus pomorski & sveenkova, 2006">	1
<subSection type="key to the known species of the genus uralaphorura">	1
<subSection type="key to the known third instar larvae of the palaearctic species of the genus phratora">	1
<subSection type="key to the larvae">	1
<subSection type="key to the lathrobium species of zhejiang province">	1
<subSection type="key to the lobelia sect. hypsela in east asia">	1
<subSection type="key to the males of cicadatra of pakistan">	1
<subSection type="key to the males of katatopygia">	1
<subSection type="key to the males of rhyncholepta">	1
<subSection type="key to the megasternini genera and subgenera known from the republic of south africa">	1
<subSection type="key to the multipunctatus species group of quedius (raphirus) from yunnan province, china">	1
<subSection type="key to the naarda species of korea and main islands of japan">	1
<subSection type="key to the native artabotrys species in thailand">	2
<subSection type="key to the new world species of crassomicrodus ashmead">	1
<subSection type="key to the oriental species of ancistrocerus">	1
<subSection type="key to the similar species to x. benxicus">	1
<subSection type="key to the species and subspecies">	1
<subSection type="key to the species of ancistrocerus south of the rio grande">	1
<subSection type="key to the species of atahualpacoris">	1
<subSection type="key to the species of clematis sect. meclatis">	1
<subSection type="key to the species of colocania">	1
<subSection type="key to the species of dicranocentrus from china">	1
<subSection type="key to the species of didymocarpus in the vietnam">	1
<subSection type="key to the species of eithea">	1
<subSection type="key to the species of eumorphus marginatus group in sulawesi">	1
<subSection type="key to the species of filipinolotis">	1
<subSection type="key to the species of hiptage pauciflora, h. ferruginea and their closely related species">	1
<subSection type="key to the species of hoplocercinae">	1
<subSection type="key to the species of krogia">	1
<subSection type="key to the species of nothodissotis">	1
<subSection type="key to the species of philopteroides mey, 2004 (adults only) *">	1
<subSection type="key to the species of pseudephedranthus">	1
<subSection type="key to the species of saracha, expanded from alvarez (1996)">	1
<subSection type="key to the species of sinocorophium">	1
<subSection type="key to the species of straneotia mateu, 1961">	1
<subSection type="key to the species of subgenus ephicaspa chûjô">	1
<subSection type="key to the species of the chasmogenus of china">	1
<subSection type="key to the species of the genus hemisaprinus">	1
<subSection type="key to the species of the genus magadhaideus based on males">	1
<subSection type="key to the species of the genus stenosoma">	1
<subSection type="key to the species of the genus trivalvaria">	2
<subSection type="key to the species of the santarita group of pseudomorpha kirby 1825">	1
<subSection type="key to the species of the solanum inornatum group">	1
<subSection type="key to the species">	1
<subSection type="key to the taiwanese species of lithobius (monotarsobius)">	2
<subSection type="key to the taxa formerly treated as navarretia divaricata">	1
<subSection type="key to the tipula (yamatotipula) pruinosa and tipula (yamatotipula) stackelbergi">	1
<subSection type="key to the western hemisphere species of subgenus badister clairville, 1806">	1
<subSection type="key to the workers of dinoponera">	1
<subSection type="key to the world species of arotes">	1
<subSection type="key to the world species of labus de saussure">	1
<subSection type="key to three asian siphlonurus species with coloured wings (female)">	1
<subSection type="key to three asian siphlonurus species with coloured wings (male)">	1
<subSection type="key to three asian siphlonurus species with coloured wings (mature nymph)">	1
<subSection type="key to world genera of living and fossil philopotinae">	1
<subSection type="key to world species of the genus areopraon mackauer, 1959">	1
<subSection type="key to world species of the genus pseudopraon starý, 1975">	1
<subSection type="key to zetekella and minitingis">	1
<subSection type="key">	99
<subSection type="keys to the subgenera of nepticulidae known from australia">	1
<subSection type="labomimus">	1
<subSection type="laboratory observations on life history">	1
<subSection type="larva">	2
<subSection type="larvae">	1
<subSection type="legs">	3
<subSection type="lewisi species-group">	1
<subSection type="list of chinese species of seladonia (pachyceble)">	1
<subSection type="list of newly described species">	1
<subSection type="list of uloma species from china">	1
<subSection type="littoral habitat of parajapyx pauliani">	1
<subSection type="malagasy species-group stigmatomma">	2
<subSection type="male genital organ">	2
<subSection type="male genitalia">	6
<subSection type="male holotype">	1
<subSection type="male palp">	2
<subSection type="male">	19
<subSection type="males">	1
<subSection type="manu species group">	1
<subSection type="manus and pes">	1
<subSection type="material examined">	1
<subSection type="materials_methods">	10
<subSection type="maxillary arcade">	1
<subSection type="measurement and type depository">	2
<subSection type="measurement of female from laos">	2
<subSection type="measurements (♂/♀)">	3
<subSection type="measurements">	8
<subSection type="melophorus aeneovirens complex">	1
<subSection type="melophorus aeneovirens species-group">	1
<subSection type="mesosoma and metasoma">	2
<subSection type="mesosoma">	1
<subSection type="metasoma">	1
<subSection type="mitsusui species-group">	1
<subSection type="modified couplets to key to chinese phymatodes species of subgenus poecilium">	1
<subSection type="modified couplets to the key to catapiestus by lang and ren (2009)">	1
<subSection type="molecular analyses and discussion">	1
<subSection type="molecular approach and perspectives">	1
<subSection type="molecular assessment">	1
<subSection type="molecular characterization and phylogenetic position of m. salina sp. n">	1
<subSection type="molecular identification and dna barcoding">	2
<subSection type="molecular phylogenies">	1
<subSection type="molecular results">	1
<subSection type="molting and environmental effects on morphology">	1
<subSection type="morphological characterization">	1
<subSection type="morphological comparison of c. formosanus sp. n. and c. japonensis">	1
<subSection type="morphological comparisons">	1
<subSection type="morphology">	4
<subSection type="morphometric comparison oft. neomexicensis andt. chiricahua">	1
<subSection type="multiple">	1118
<subSection type="names (designations) not validly published">	1
<subSection type="names excluded from platydesma">	1
<subSection type="names of uncertain application within poa subgen. pseudopoa">	1
<subSection type="native status">	1706
<subSection type="natural history notes">	1
<subSection type="nearctic species excluded from gymnoclasiopa">	1
<subSection type="nephridiopores">	2
<subSection type="neurocranium">	1
<subSection type="new and resurrected combinations in myriopteris">	1
<subSection type="new combination">	1
<subSection type="new combinations in phlegmariurus">	1
<subSection type="new distribution record">	1
<subSection type="new record">	1
<subSection type="new records for thailand">	2
<subSection type="new records of cretan members of the genus lasius">	1
<subSection type="new taxa">	1
<subSection type="nomen dubium">	1
<subSection type="nomenclatural confusion surrounding these names">	1
<subSection type="nomina dubia and species removed from oodera">	2
<subSection type="notes on genera not included in the present analyses">	1
<subSection type="notes on the leafhopper host of anagrus dmitrievi">	1
<subSection type="notes on two homonyms described from china">	1
<subSection type="operclipygus mirabilis group">	1
<subSection type="operclipygus, incertae sedis">	1
<subSection type="optimal media conditions for mycelial growth and characteristics of mycelial cultures">	1
<subSection type="optimal ph conditions for mycelial growth">	1
<subSection type="optimal temperature conditions for mycelial growth">	1
<subSection type="order hymenoptera">	1
<subSection type="oryctophileurus in the southern bolivian andes">	1
<subSection type="other braconidae reared from phytobia spp. in north france">	1
<subSection type="other castes">	16
<subSection type="other european species associated with omphale">	1
<subSection type="other hedychium spp. examined">	1
<subSection type="other specimens of leucosigma">	1
<subSection type="ovigerous female">	1
<subSection type="oviposition">	2
<subSection type="ovipositor">	1
<subSection type="oxyscelio aciculae species group">	1
<subSection type="oxyscelio atricoxa species group">	1
<subSection type="oxyscelio carinatus species group">	1
<subSection type="oxyscelio catenae species group">	1
<subSection type="oxyscelio concoloripes species group">	1
<subSection type="oxyscelio crateris species group">	1
<subSection type="oxyscelio crebritas species group">	1
<subSection type="oxyscelio cuculli species group">	1
<subSection type="oxyscelio dasymesos species group">	2
<subSection type="oxyscelio flavipes species group">	1
<subSection type="oxyscelio florus species group">	1
<subSection type="oxyscelio fossarum species group">	2
<subSection type="oxyscelio foveatus species group">	2
<subSection type="oxyscelio latitudinis species group">	1
<subSection type="oxyscelio limae species group">	1
<subSection type="oxyscelio noduli species group">	1
<subSection type="oxyscelio ogive species group">	1
<subSection type="oxyscelio proceritatis species group">	1
<subSection type="oxyscelio striarum species group">	1
<subSection type="palp">	2
<subSection type="paramblynotus trisetosus species-group">	1
<subSection type="parasite of">	2
<subSection type="pectoral girdle">	1
<subSection type="pedipalpus">	2
<subSection type="pelvic girdle">	1
<subSection type="penis">	2
<subSection type="phenology">	15
<subSection type="phylogenetic analyses">	1
<subSection type="phylogenetic and time calibrated tree">	1
<subSection type="phylogenetic relationships of longidorus cholevae with other longidorus species">	1
<subSection type="phylogenetic relationships">	3
<subSection type="phylogeny">	1
<subSection type="plesiomorphic and autapomorphic characters">	1
<subSection type="pollination ecology">	1
<subSection type="portuguese specimens">	4
<subSection type="position of colocania gen. n. in ptiloneuridae">	1
<subSection type="postcranium. vertebral column">	1
<subSection type="problems with olive orchards in argentina related to eriophyid mites and their predator agistemus aimogastaensis sp. n">	1
<subSection type="pronotum">	1
<subSection type="proposed iucn conservation status">	1
<subSection type="provisional key to cryptops s. str. species of the hortensis group">	2
<subSection type="pselaphodes">	1
<subSection type="pseudophoraspisfruhstorferi group">	1
<subSection type="pseudophoraspisgorochovi group">	1
<subSection type="pubescence">	1
<subSection type="pupa">	2
<subSection type="queen">	2
<subSection type="reassessment of morphology">	1
<subSection type="recorded habitats and distribution in portugal">	4
<subSection type="records of camptochaeta species in caves">	1
<subSection type="reference_group">	18
